
                                      ARENA Simulation Results
                                      Bryan - License: STUDENT

                                  Summary for Replication 1 of 1

Project: Covid                                                       Run execution date : 5/25/2022
Analyst: ABCD                                                        Model revision date: 5/25/2022

Replication ended at time      : 240.0 Minutes 
Base Time Units: Minutes

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
On Site Registration.WaitCostPerEntity      .00000     (Insuf)    .00000     .00000         74    
On Site Registration.VATimePerEntity        3.0037     (Insuf)    1.6295     4.4350         74    
Vaccination.WaitCostPerEntity               .00000     (Insuf)    .00000     .00000         56    
QR Code Verification.VACostPerEntity        1.8063     (Insuf)    .70162     3.6192        140    
Vaccination.TotalCostPerEntity              9.2981     (Insuf)    5.4593     12.087         56    
On Site Registration.VACostPerEntity        4.4496     (Insuf)    2.4139     6.5697         74    
Emergency Process.VACostPerEntity           42.725     (Insuf)    42.725     42.725          1    
Identify Priority Group.WaitTimePerEntity   .01673     (Insuf)    .00000     .32179        164    
Emergency Process.TotalTimePerEntity        14.049     (Insuf)    14.049     14.049          1    
QR Code Verification.TotalCostPerEntity     1.8063     (Insuf)    .70162     3.6192        140    
QR Code Verification.TotalTimePerEntity     1.8065     (Insuf)    .54498     15.222        140    
On Site Patient.VATime                      19.935     (Insuf)    .11659     30.225         39    
On Site Patient.NVATime                     .00000     (Insuf)    .00000     .00000         39    
On Site Patient.WaitTime                    52.180     (Insuf)    .00000     131.71         39    
On Site Patient.TranTime                    2.1538     (Insuf)    .00000     3.0000         39    
On Site Patient.OtherTime                   1.0469     (Insuf)    .00000     14.931         39    
On Site Patient.TotalTime                   75.317     (Insuf)    .11659     162.31         39    
On Site Patient.VACost                      20.899     (Insuf)    .17271     34.219         39    
On Site Patient.NVACost                     .00000     (Insuf)    .00000     .00000         39    
On Site Patient.WaitCost                    .00000     (Insuf)    .00000     .00000         39    
On Site Patient.TranCost                    .00000     (Insuf)    .00000     .00000         39    
On Site Patient.OtherCost                   .00000     (Insuf)    .00000     .00000         39    
On Site Patient.TotalCost                   20.899     (Insuf)    .17271     34.219         39    
Online Patients.VATime                      15.916     (Insuf)    .12062     38.277         37    
Online Patients.NVATime                     .00000     (Insuf)    .00000     .00000         37    
Online Patients.WaitTime                    31.981     (Insuf)    .00000     114.26         37    
Online Patients.TranTime                    1.8648     (Insuf)    .00000     3.0000         37    
Online Patients.OtherTime                   1.7380     (Insuf)    .00000     25.746         37    
Online Patients.TotalTime                   51.501     (Insuf)    .12062     144.18         37    
Online Patients.VACost                      15.757     (Insuf)    .17868     64.475         37    
Online Patients.NVACost                     .00000     (Insuf)    .00000     .00000         37    
Online Patients.WaitCost                    .00000     (Insuf)    .00000     .00000         37    
Online Patients.TranCost                    .00000     (Insuf)    .00000     .00000         37    
Online Patients.OtherCost                   .00000     (Insuf)    .00000     .00000         37    
Online Patients.TotalCost                   15.757     (Insuf)    .17868     64.475         37    
On Site Registration.Queue.WaitingTime      22.759     (Insuf)    .00000     42.986         75    
On Site Registration.Queue.WaitingCost      .00000     (Insuf)    .00000     .00000         75    
Emergency Process.Queue.WaitingTime         .00000     (Insuf)    .00000     .00000          1    
Emergency Process.Queue.WaitingCost         .00000     (Insuf)    .00000     .00000          1    
Health Screening.Queue.WaitingTime          55.579     (Insuf)    .00000     127.99         73    
Health Screening.Queue.WaitingCost          .00000     (Insuf)    .00000     .00000         73    
QR Code Verification.Queue.WaitingTime      .58667     (Insuf)    .00000     14.613        141    
QR Code Verification.Queue.WaitingCost      .00000     (Insuf)    .00000     .00000        141    
Identify Priority Group.Queue.WaitingTime   .01673     (Insuf)    .00000     .32179        164    
Identify Priority Group.Queue.WaitingCost   .00000     (Insuf)    .00000     .00000        164    
Initial Health Assessment.Queue.WaitingTim  .58741     (Insuf)    .00000     14.123        177    
Initial Health Assessment.Queue.WaitingCos  .00000     (Insuf)    .00000     .00000        177    
Vaccination.Queue.WaitingTime               1.7483     (Insuf)    .00000     17.199         57    
Vaccination.Queue.WaitingCost               .00000     (Insuf)    .00000     .00000         57    

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

On Site Patient.WIP                         33.031     (Insuf)    .00000     60.000     60.000    
Online Patients.WIP                         21.275     (Insuf)    .00000     41.000     41.000    
Hospital Guard.NumberBusy                   .22256     (Insuf)    .00000     1.0000     .00000    
Hospital Guard.NumberScheduled              .93750     (Insuf)    .00000     1.0000     1.0000    
Hospital Guard.Utilization                  .22256     (Insuf)    .00000     1.0000     .00000    
QR Code Verification Officer.NumberBusy     .71478     (Insuf)    .00000     1.0000     1.0000    
QR Code Verification Officer.NumberSchedul  .93229     (Insuf)    .00000     1.0000     1.0000    
QR Code Verification Officer.Utilization    .71478     (Insuf)    .00000     1.0000     1.0000    
Registration Officer.NumberBusy             .93473     (Insuf)    .00000     1.0000     1.0000    
Registration Officer.NumberScheduled        .93069     (Insuf)    .00000     1.0000     1.0000    
Registration Officer.Utilization            .93473     (Insuf)    .00000     1.0000     1.0000    
Priority Group Officer.NumberBusy           .22778     (Insuf)    .00000     1.0000     .00000    
Priority Group Officer.NumberScheduled      .93683     (Insuf)    .00000     1.0000     1.0000    
Priority Group Officer.Utilization          .22778     (Insuf)    .00000     1.0000     .00000    
Vaccinator.NumberBusy                       .72008     (Insuf)    .00000     1.0000     1.0000    
Vaccinator.NumberScheduled                  .93518     (Insuf)    .00000     1.0000     1.0000    
Vaccinator.Utilization                      .72008     (Insuf)    .00000     1.0000     1.0000    
Screening Nurse.NumberBusy                  .92247     (Insuf)    .00000     1.0000     1.0000    
Screening Nurse.NumberScheduled             .92951     (Insuf)    .00000     1.0000     1.0000    
Screening Nurse.Utilization                 .92247     (Insuf)    .00000     1.0000     1.0000    
Emergency Officer.NumberBusy                .05854     (Insuf)    .00000     1.0000     .00000    
Emergency Officer.NumberScheduled           .93750     (Insuf)    .00000     1.0000     1.0000    
Emergency Officer.Utilization               .05854     (Insuf)    .00000     1.0000     .00000    
On Site Registration.Queue.NumberInQueue    8.2659     (Insuf)    .00000     15.000     15.000    
Emergency Process.Queue.NumberInQueue       .00000     (Insuf)    .00000     .00000     .00000    
Health Screening.Queue.NumberInQueue        35.900     (Insuf)    .00000     73.000     73.000    
QR Code Verification.Queue.NumberInQueue    .34467     (Insuf)    .00000     2.0000     .00000    
Identify Priority Group.Queue.NumberInQueu  .01143     (Insuf)    .00000     1.0000     .00000    
Initial Health Assessment.Queue.NumberInQu  .43322     (Insuf)    .00000     11.000     .00000    
Vaccination.Queue.NumberInQueue             .43121     (Insuf)    .00000     3.0000     1.0000    
Monitoring Area.NumEntTrans                 .23333     (Insuf)    .00000     1.0000     .00000    
Screening Bay.NumEntTrans                   .57010     (Insuf)    .00000     2.0000     1.0000    
Vax Bay.NumEntTrans                         .24167     (Insuf)    .00000     2.0000     .00000    

                                             COUNTERS

Identifier                                    Count   Limit
_____________________________________________________________

Online Registered Patients                       67  Infinite
Number of Unvaccinated Caused By High Temp       13  Infinite
Successfully Vaccinated Patients                 49  Infinite
Number of Unvaccinated Caused by QR Code V        3  Infinite
Number of Successful Vaccination but Shows        1  Infinite
On Site Registered Patients                      74  Infinite
Number of Unvaccinated Caused by Wrong Pri        7  Infinite
Number of Unvaccinated Caused by High Bloo        3  Infinite

                                             OUTPUTS

Identifier                                   Value
_____________________________________________________________

Initial Health Assessment Total Accum Time  157.38    
Initial Health Assessment Total Accum Cost  79.123    
Identify Priority Group Accum VA Cost       80.979    
On Site Registration Accum Wait Time        1670.5    
Identify Priority Group Accum VA Time       54.666    
On Site Registration Accum Wait Cost        .00000    
Emergency Process Total Accum Cost          42.725    
Emergency Process Accum Wait Time           .00000    
Health Screening Accum Wait Time            3929.2    
Emergency Process Accum Wait Cost           .00000    
QR Code Verification Number In              141.00    
QR Code Verification Accum Wait Cost        .00000    
QR Code Verification Accum Wait Time        82.198    
Emergency Process Number Out                1.0000    
Initial Health Assessment Number In         177.00    
Emergency Process Number In                 1.0000    
Initial Health Assessment Number Out        177.00    
On Site Registration Accum VA Cost          329.27    
Vaccination Total Accum Cost                520.69    
On Site Registration Accum VA Time          222.28    
Vaccination Total Accum Time                265.98    
On Site Registration Total Accum Time       1892.8    
On Site Registration Total Accum Cost       329.27    
Monitoring Accum VA Cost                    .00000    
Health Screening Total Accum Cost           666.79    
Health Screening Number In                  146.00    
QR Code Verification Total Accum Time       252.92    
QR Code Verification Total Accum Cost       252.89    
Initial Health Assessment Accum Wait Cost   .00000    
Initial Health Assessment Accum Wait Time   103.97    
Vaccination Accum VA Time                   171.21    
Health Screening Number Out                 72.000    
Monitoring Total Accum Cost                 .00000    
Vaccination Number Out                      56.000    
Vaccination Number In                       58.000    
Emergency Process Total Accum Time          14.049    
Vaccination Accum Wait Cost                 .00000    
Vaccination Accum Wait Time                 94.772    
Identify Priority Group Total Accum Time    57.410    
Identify Priority Group Accum Wait Cost     .00000    
Initial Health Assessment Accum VA Time     53.413    
Identify Priority Group Accum Wait Time     2.7434    
Monitoring Accum VA Time                    801.78    
Initial Health Assessment Accum VA Cost     79.123    
QR Code Verification Accum VA Time          170.72    
QR Code Verification Accum VA Cost          252.89    
QR Code Verification Number Out             140.00    
Health Screening Total Accum Time           4148.5    
On Site Registration Number Out             74.000    
Monitoring Number Out                       50.000    
Monitoring Number In                        56.000    
Health Screening Accum Wait Cost            .00000    
Health Screening Accum VA Time              219.25    
Health Screening Accum VA Cost              666.79    
Identify Priority Group Number Out          164.00    
Monitoring Total Accum Time                 801.78    
Vaccination Accum VA Cost                   520.69    
Identify Priority Group Number In           164.00    
Emergency Process Accum VA Cost             42.725    
Emergency Process Accum VA Time             14.049    
Identify Priority Group Total Accum Cost    80.979    
On Site Registration Number In              90.000    
On Site Patient.NumberIn                    99.000    
On Site Patient.NumberOut                   39.000    
Online Patients.NumberIn                    78.000    
Online Patients.NumberOut                   37.000    
Hospital Guard.NumberSeized                 177.00    
Hospital Guard.ScheduledUtilization         .23739    
Hospital Guard.BusyCost                     79.123    
Hospital Guard.IdleCost                     254.17    
Hospital Guard.UsageCost                    .00000    
QR Code Verification Officer.NumberSeized   141.00    
QR Code Verification Officer.ScheduledUtil  .76668    
QR Code Verification Officer.BusyCost       252.89    
QR Code Verification Officer.IdleCost       79.182    
QR Code Verification Officer.UsageCost      .00000    
Registration Officer.NumberSeized           75.000    
Registration Officer.ScheduledUtilization   1.0043    
Registration Officer.BusyCost               329.27    
Registration Officer.IdleCost               .98404    
Registration Officer.UsageCost              .00000    
Priority Group Officer.NumberSeized         164.00    
Priority Group Officer.ScheduledUtilizatio  .24314    
Priority Group Officer.BusyCost             80.979    
Priority Group Officer.IdleCost             252.32    
Priority Group Officer.UsageCost            .00000    
Vaccinator.NumberSeized                     57.000    
Vaccinator.ScheduledUtilization             .76999    
Vaccinator.BusyCost                         520.69    
Vaccinator.IdleCost                         158.69    
Vaccinator.UsageCost                        .00000    
Screening Nurse.NumberSeized                73.000    
Screening Nurse.ScheduledUtilization        .99242    
Screening Nurse.BusyCost                    666.79    
Screening Nurse.IdleCost                    10.972    
Screening Nurse.UsageCost                   .00000    
Emergency Officer.NumberSeized              1.0000    
Emergency Officer.ScheduledUtilization      .06244    
Emergency Officer.BusyCost                  42.725    
Emergency Officer.IdleCost                  641.53    
Emergency Officer.UsageCost                 .00000    
All Entities.VACost                         1972.4    
All Entities.NVACost                        .00000    
All Entities.WaitCost                       .00000    
All Entities.TranCost                       .00000    
All Entities.OtherCost                      .00000    
All Entities.TotalCost                      1972.4    
All Resources.BusyCost                      1972.4    
All Resources.IdleCost                      1397.8    
All Resources.UsageCost                     .00000    
All Resources.TotalCost                     3370.3    
System.TotalCost                            3370.3    
System.NumberOut                            76.000    


Simulation run time: 0.18 minutes.
Simulation run complete.
